id,buffer,class,metric,value
1,100,1,pland,100
1,100,1,pd,31.746031746031743
1,100,1,ed,0
1,100,1,split,1
1,400,1,pland,100
1,400,1,pd,1.9735543714229329
1,400,1,ed,0
1,400,1,split,1
1,700,1,pland,100
1,700,1,pd,0.6490134994807893
1,700,1,ed,0
1,700,1,split,1
1,1000,1,pland,100
1,1000,1,pd,0.3183699458771092
1,1000,1,ed,0
1,1000,1,split,1
1,1300,1,pland,99.88133581963045
1,1300,1,pd,0.18835584185643517
1,1300,1,ed,0.508560773012375
1,1300,1,split,1.0023775146573604
1,1600,1,pland,99.92163009404389
1,1600,1,pd,0.12439667612081405
1,1600,1,ed,0.4478280340349306
1,1600,1,split,1.0015692425990004
1,1900,1,pland,99.93650289705532
1,1900,1,pd,0.08819042075649743
1,1900,1,ed,0.42331401963118764
1,1900,1,split,1.001271152648383
1,2200,1,pland,99.91711562370493
1,2200,1,pd,0.06578125102783206
1,2200,1,ed,0.6117656345588381
1,2200,1,split,1.0016597507518163
1,2500,1,pland,99.91749174917493
1,2500,1,pd,0.05093101902782872
1,2500,1,ed,0.7028480625840362
1,2500,1,split,1.0016522095489937
1,2800,1,pland,99.89035087719299
1,2800,1,pd,0.040610786224821324
1,2800,1,ed,0.7797270955165693
1,2800,1,split,1.002196594615632
2,100,1,pland,85.71428571428572
2,100,1,pd,31.74603174603175
2,100,1,ed,57.14285714285715
2,100,1,split,1.361111111111111
2,400,1,pland,35.842293906810035
2,400,1,pd,3.982477100756671
2,400,1,ed,56.75029868578256
2,400,1,split,8.101686094920899
2,700,1,pland,54.03508771929825
2,700,1,pd,1.299545159194282
2,700,1,ed,49.317738791423
2,700,1,split,5.441826187613756
2,1000,1,pland,69.78211009174312
2,1000,1,pd,0.31855249745158
2,1000,1,ed,33.63914373088685
2,1000,1,split,2.0535808449053365
2,1300,1,pland,78.22471147318397
2,1300,1,pd,0.3771592366297051
2,1300,1,ed,29.022403258655807
2,1300,1,split,1.6349350901033808
2,1600,1,pland,79.26747311827957
2,1600,1,pd,0.746714456391876
2,1600,1,ed,27.591099163679814
2,1600,1,split,1.5951159614748436
2,1900,1,pland,81.6146701595618
2,1900,1,pd,0.970248648267224
2,1900,1,ed,25.111799105607155
2,1900,1,split,1.5083181367469498
2,2200,1,pland,83.49129250088852
2,2200,1,pd,0.7897958377759349
2,2200,1,ed,22.548671168502942
2,2200,1,split,1.4398624272775238
2,2500,1,pland,84.50710683172856
2,2500,1,pd,0.9170105456212746
2,2500,1,ed,20.648020785572367
2,2500,1,split,1.4097414985360253
2,2800,1,pland,85.00877321245797
2,2800,1,pd,0.93418465987556
2,2800,1,ed,19.50821270166214
2,2800,1,split,1.393245121992235
3,100,1,pland,100
3,100,1,pd,31.746031746031743
3,100,1,ed,0
3,100,1,split,1
3,400,1,pland,99.46332737030411
3,400,1,pd,1.9876764062810575
3,400,1,ed,5.963029218843172
3,400,1,split,1.0108204803064025
3,700,1,pland,97.77777777777779
3,700,1,pd,0.6497725795971412
3,700,1,ed,13.060428849902536
3,700,1,split,1.0459710743801651
3,1000,1,pland,90.74233304671826
3,1000,1,pd,1.5923059775166397
3,1000,1,ed,30.763351485621477
3,1000,1,split,1.2182955081341658
3,1300,1,pland,80.16304347826087
3,1300,1,pd,1.5096618357487923
3,1300,1,ed,38.94927536231884
3,1300,1,split,1.6044820383025893
3,1600,1,pland,81.42713117508681
3,1600,1,pd,0.9957308041770908
3,1600,1,ed,33.8672939770733
3,1600,1,split,1.6694154057804802
3,1900,1,pland,84.04922588328702
3,1900,1,pd,0.7057474306382604
3,1900,1,ed,27.762339552732566
3,1900,1,split,1.7260331530969424
3,2200,1,pland,85.84290960786637
3,2200,1,pd,0.52653055851729
3,2200,1,ed,23.062038463057302
3,2200,1,split,1.7656898981523488
3,2500,1,pland,87.12517193947731
3,2500,1,pd,0.40756024249834427
3,2500,1,ed,19.822711294513223
3,2500,1,split,1.785098095975073
3,2800,1,pland,88.11551818680314
3,2800,1,pd,0.32494567314527106
3,2800,1,ed,16.767196734295986
3,2800,1,split,1.788657813161047
4,100,1,pland,85.71428571428572
4,100,1,pd,31.746031746031743
4,100,1,ed,57.142857142857146
4,100,1,split,1.3611111111111114
4,400,1,pland,74.10714285714285
4,400,1,pd,7.936507936507936
4,400,1,ed,97.02380952380952
4,400,1,split,2.3822003448721167
4,700,1,pland,82.5072886297376
4,700,1,pd,1.2957563977972142
4,700,1,ed,65.11175898931002
4,700,1,split,2.429927041672416
4,1000,1,pland,85.30507018046404
4,1000,1,pd,0.6365574970559216
4,1000,1,ed,52.993411629905474
4,1000,1,split,1.5585610690478762
4,1300,1,pland,86.93663165028805
4,1300,1,pd,0.3765202003087466
4,1300,1,ed,47.15915508867051
4,1300,1,split,1.603075045281149
4,1600,1,pland,88.23134578811948
4,1600,1,pd,0.37289778871611295
4,1600,1,ed,40.45941007569825
4,1600,1,split,1.5364798521054623
4,1900,1,pland,87.65873015873015
4,1900,1,pd,0.3527336860670194
4,1900,1,ed,38.148148148148145
4,1900,1,split,1.5459961460524645
4,2200,1,pland,86.48552654945836
4,2200,1,pd,0.2630938521544098
4,2200,1,ed,34.294283628327314
4,2200,1,split,1.688993395658135
4,2500,1,pland,85.81908211452937
