id,buffer,class,metric,value
186,100,1,pl,0
186,100,1,pd,0
186,100,1,si,0
186,100,1,split,1.4769058569246774
185,2800,1,pland,87.56108181334365
185,2800,1,pd,2.4190817165803864
185,2800,1,ed,206.0089989839857
185,2800,1,split,1.4769058569246774
185,2500,1,pland,86.85129587647816
185,2500,1,pd,2.859301921859363
185,2500,1,ed,208.66776954026508
185,2500,1,split,1.4903907258081144
185,2200,1,pland,85.63407395524185
185,2200,1,pd,3.2084703617550336
185,2200,1,ed,211.27777332156896
185,2200,1,split,1.5268312445452452
185,1900,1,pland,84.03627622377621
185,1900,1,pd,2.913752913752914
185,1900,1,ed,216.71037296037298
185,1900,1,split,1.6379648647693592
185,1600,1,pland,80.60644346178142
185,1600,1,pd,3.860461851617884
185,1600,1,ed,218.99347230996
185,1600,1,split,1.7133378766830947
185,1300,1,pland,77.24623603691111
185,1300,1,pd,3.507635853434785
185,1300,1,ed,213.53407803140686
185,1300,1,split,1.7858700795283378
185,1000,1,pland,76.85679113664342
185,1000,1,pd,2.735603884557516
185,1000,1,ed,206.8116536725482
185,1000,1,split,1.7314480596397905
185,700,1,pland,71.19377162629758
185,700,1,pd,5.767012687427913
185,700,1,ed,204.1522491349481
185,700,1,split,3.620653125143936
185,400,1,pland,68.15789473684211
185,400,1,pd,8.771929824561404
185,400,1,ed,201.7543859649123
185,400,1,split,2.747911473101295
185,100,1,pland,96.00000000000001
185,100,1,pd,44.44444444444444
185,100,1,ed,160
185,100,1,split,1.0850694444444444
184,2800,1,pland,99.97852510415325
184,2800,1,pd,0.04772199077056699
184,2800,1,ed,188.1057710203439
184,2800,1,split,1.0004296363079055
184,2500,1,pland,100
184,2500,1,pd,0.05987557854777772
184,2500,1,ed,0
184,2500,1,split,1
184,2200,1,pland,100
184,2200,1,pd,0.07721948093064919
184,2200,1,ed,0
184,2200,1,split,1
184,1900,1,pland,100
184,1900,1,pd,0.10326311441553077
184,1900,1,ed,0
184,1900,1,split,1
184,1600,1,pland,100
184,1600,1,pd,0.14616036715484232
184,1600,1,ed,0
184,1600,1,split,1
184,1300,1,pland,100
184,1300,1,pd,0.22146922685092907
184,1300,1,ed,0
184,1300,1,split,1
184,1000,1,pland,100
184,1000,1,pd,0.37210686909280344
184,1000,1,ed,0
184,1000,1,split,1
184,700,1,pland,100
184,700,1,pd,0.7599939200486397
184,700,1,ed,0
184,700,1,split,1
184,400,1,pland,100
184,400,1,pd,2.4154589371980677
184,400,1,ed,0
184,400,1,split,1
184,100,1,pland,100
184,100,1,pd,44.44444444444444
184,100,1,ed,0
184,100,1,split,1
183,2800,1,pland,98.3735916882206
183,2800,1,pd,0.19483777319909013
183,2800,1,ed,187.71645258866337
183,2800,1,split,1.033892073779283
183,2500,1,pland,98.32140891579526
183,2500,1,pd,0.12230171833914266
183,2500,1,ed,189.0478811227298
